time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
1.32,19.961923692371883,4.99475578406575,4.994755784066393,-0.21363824209059928,-0.04391942191282065,-0.043919421909023613,-0.519778531280987,-0.19096292252431776,-0.19096292252737013
1.33,19.961511014763385,4.994673222585457,4.994673222586108,-0.21457368601560523,-0.044304623028793504,-0.044304623025002626,-0.5278675280636945,-0.19041563554974644,-0.19041563555278956
1.34,19.961098337154887,4.994590661105166,4.994590661105824,-0.2155091299406112,-0.044689824144766355,-0.044689824140981646,-0.535956524846402,-0.1898683485751751,-0.189868348578209
1.35,19.96068565954639,4.994508099624873,4.99450809962554,-0.21644457386561713,-0.045075025260739206,-0.04507502525696066,-0.5440455216291096,-0.18932106160060377,-0.18932106160362844
1.36,19.96027298193789,4.994425538144582,4.994425538145256,-0.21738001779062308,-0.04546022637671206,-0.04546022637293967,-0.5521345184118172,-0.18877377462603243,-0.18877377462904787
1.37,19.959860304329393,4.9943429766642895,4.994342976664972,-0.21831546171562904,-0.04584542749268491,-0.045845427488918684,-0.5602235151945247,-0.1882264876514611,-0.1882264876544673
1.3800000000000001,19.959447626720895,4.994260415183998,4.994260415184687,-0.21925090564063499,-0.04623062860865776,-0.0462306286048977,-0.5683125119772322,-0.18767920067688976,-0.18767920067988678
1.3900000000000001,19.959034949112397,4.994177853703706,4.994177853704403,-0.22018634956564093,-0.04661582972463061,-0.04661582972087672,-0.5764015087599397,-0.18713191370231844,-0.1871319137053062
1.4000000000000001,19.9586222715039,4.994095292223414,4.994095292224118,-0.2211217934906469,-0.04700103084060346,-0.04700103083685573,-0.5844905055426473,-0.18658462672774712,-0.18658462673072565
1.41,19.9582095938954,4.994012730743122,4.994012730743834,-0.2220572374156528,-0.047386231956576305,-0.04738623195283473,-0.5925795023253546,-0.18603733975317577,-0.18603733975614511
1.42,19.957796916286902,4.99393016926283,4.99393016926355,-0.22299268134065878,-0.047771433072549156,-0.04777143306881375,-0.6006684991080622,-0.18549005277860445,-0.18549005278156455
1.43,19.957384238678404,4.993847607782538,4.993847607783266,-0.22392812526566472,-0.04815663418852201,-0.04815663418479276,-0.6087574958907697,-0.18494276580403313,-0.184942765806984
1.44,19.956971561069906,4.993765046302246,4.993765046302982,-0.2248635691906707,-0.04854183530449486,-0.048541835300771774,-0.6168464926734771,-0.18439547882946178,-0.18439547883240343
1.45,19.95655888346141,4.993682484821955,4.993682484822697,-0.22579901311567663,-0.04892703642046771,-0.048927036416750794,-0.6249354894561847,-0.18384819185489046,-0.18384819185782286
1.46,19.95614620585291,4.993599923341662,4.993599923342413,-0.22673445704068257,-0.04931223753644056,-0.0493122375327298,-0.6330244862388923,-0.1833009048803191,-0.1833009048832423
1.47,19.955733528244412,4.993517361861371,4.9935173618621285,-0.2276699009656885,-0.04969743865241341,-0.04969743864870882,-0.6411134830215999,-0.1827536179057478,-0.18275361790866174
1.48,19.955320850635914,4.9934348003810785,4.993434800381844,-0.22860534489069448,-0.05008263976838627,-0.05008263976468783,-0.6492024798043073,-0.18220633093117644,-0.18220633093408117
1.49,19.954908173027416,4.993352238900787,4.99335223890156,-0.22954078881570042,-0.050467840884359114,-0.050467840880666845,-0.6572914765870148,-0.18165904395660512,-0.1816590439595006
1.5,19.954495495418918,4.9932696774204945,4.993269677421275,-0.2304762327407064,-0.05085304200033197,-0.05085304199664586,-0.6653804733697224,-0.18111175698203377,-0.18111175698492005
1.51,19.95408281781042,4.993187115940203,4.993187115940992,-0.23141167666571233,-0.051238243116304816,-0.05123824311262487,-0.67346947015243,-0.18056447000746245,-0.1805644700103395
1.52,19.953571802917,4.993078019831965,4.993078019832761,-0.23293035258494335,-0.05158442757764949,-0.05158442757397506,-0.681259548552777,-0.18004628277666831,-0.18004628277953671
